"","x"
"1","ARID3A"
"2","ATF2"
"3","BARX1"
"4","BRCA1"
"5","CIITA"
"6","CREB3L1"
"7","CRX"
"8","CTNNB1"
"9","CXXC1"
"10","E2F1"
"11","EBF3"
"12","ELF2"
"13","ELF3"
"14","ELF4"
"15","ELK1"
"16","EMX2"
"17","EN1"
"18","EOMES"
"19","ESRRB"
"20","ETS1"
"21","ETS2"
"22","ETV4"
"23","ETV5"
"24","FEZF1"
"25","FOSL2"
"26","FOXJ1"
"27","FOXP2"
"28","GATA2"
"29","GLI1"
"30","GLI2"
"31","HESX1"
"32","HIVEP2"
"33","INSM1"
"34","IRF2"
"35","IRF5"
"36","IRF6"
"37","IRF9"
"38","IRX1"
"39","JUND"
"40","KAT6A"
"41","KAT6B"
"42","KAT7"
"43","KCNIP3"
"44","KLF4"
"45","KLF5"
"46","LHX8"
"47","LMX1A"
"48","MAFG"
"49","MEF2D"
"50","MEIS2"
"51","MITF"
"52","MSX2"
"53","MYC"
"54","NCOR1"
"55","NCOR2"
"56","NEUROD1"
"57","NFATC4"
"58","NFE2L1"
"59","NFIC"
"60","NFIX"
"61","NFKBIB"
"62","NFYA"
"63","NFYB"
"64","NFYC"
"65","NKX2-2"
"66","NOTCH1"
"67","NR2E1"
"68","NR4A1"
"69","NRL"
"70","ONECUT1"
"71","OTX2"
"72","PAX3"
"73","PBX1"
"74","PBX2"
"75","POU2F1"
"76","POU3F1"
"77","POU3F2"
"78","POU4F1"
"79","PREB"
"80","RARA"
"81","RARB"
"82","RARG"
"83","RBPJ"
"84","REL"
"85","SATB1"
"86","SIM2"
"87","SIRT1"
"88","SMAD1"
"89","SMARCB1"
"90","SOX10"
"91","SP1"
"92","TFAP2C"
"93","TFCP2"
"94","TGFB1I1"
"95","THRA"
"96","THRB"
"97","TRPS1"
"98","USF2"
"99","WT1"
"100","ZBTB17"
"101","ZEB2"
"102","ZIC1"
"103","ZNF202"
"104","ZNF699"
"105","ZNF91"
"106","AHR"
"107","ARX"
"108","ASCL1"
"109","ASCL2"
"110","ATF4"
"111","ATOH7"
"112","BMAL1"
"113","CREB1"
"114","DACH1"
"115","DAXX"
"116","DBP"
"117","DLX1"
"118","DLX2"
"119","DMTF1"
"120","DNMT3A"
"121","EGR1"
"122","EGR2"
"123","EGR3"
"124","ENO1"
"125","FOS"
"126","FOXC2"
"127","FOXP1"
"128","FOXP3"
"129","GATA3"
"130","GFI1"
"131","GRHL2"
"132","HDGF"
"133","HEY2"
"134","HEYL"
"135","HMGA1"
"136","HOPX"
"137","HR"
"138","HSF1"
"139","IRF1"
"140","IRF3"
"141","IRF4"
"142","IRF7"
"143","ISL1"
"144","JUN"
"145","KDM2A"
"146","KLF10"
"147","KLF15"
"148","LMO2"
"149","MEF2C"
"150","MTA1"
"151","MYOCD"
"152","NAB2"
"153","NEUROD2"
"154","NFIB"
"155","NFKB1"
"156","NFKB2"
"157","NKX2-1"
"158","NKX2-5"
"159","NKX6-1"
"160","NR4A3"
"161","NR5A1"
"162","NR6A1"
"163","OLIG2"
"164","PAX9"
"165","PITX1"
"166","PITX2"
"167","PLAG1"
"168","RELA"
"169","RELB"
"170","REST"
"171","SATB2"
"172","SCX"
"173","SMAD2"
"174","SMAD3"
"175","SMAD6"
"176","SMARCA4"
"177","SNAI2"
"178","SRF"
"179","SSRP1"
"180","STAT2"
"181","TBX18"
"182","TCF3"
"183","TP53"
"184","TWIST2"
"185","VENTX"
"186","WWTR1"
"187","XBP1"
"188","YY1"
"189","ZBTB7B"
"190","ZEB1"
"191","ZNF148"
"192","AIRE"
"193","CLOCK"
"194","CREBZF"
"195","DLX3"
"196","EPAS1"
"197","FOSB"
"198","FOXA2"
"199","FOXG1"
"200","GSC"
"201","HDAC9"
"202","HOXA2"
"203","JUNB"
"204","KDM5A"
"205","KLF9"
"206","MAFA"
"207","MEOX1"
"208","NCOA1"
"209","NEUROG3"
"210","NFE2L2"
"211","NR3C2"
"212","PPARD"
"213","PPARGC1A"
"214","SIX3"
"215","SMAD4"
"216","TBX6"
"217","TEF"
"218","ZXDC"
"219","BACH2"
"220","E2F4"
"221","EBF1"
"222","ESR2"
"223","SIN3A"
"224","SOX5"
"225","STAT6"
"226","TBP"
"227","VDR"
