"","Var1","Var2","value","link","degree"
"1","ZIC2","RPS6KA6",-0.955796401532676,"neg",8
"2","ARX","TLE4",-0.957114184986897,"neg",4
"3","EPB41L2","CCNG1",-0.965866356544933,"neg",1
"4","PTPRZ1","MYRF",-0.950406862579123,"neg",2
"5","LHX2","MYRF",-0.961774818500571,"neg",1
"6","WNT5B","FOXA2",-0.957968655457233,"neg",7
"7","PRDX6","FOXA2",-0.954146612899532,"neg",2
"8","GLI3","NKX2-2",-0.952098552533666,"neg",3
"9","WNT5B","NKX2-2",-0.958726052018832,"neg",7
"10","FOXA2","GNG11",-0.95866372289321,"neg",5
"11","LTBP1","DDC",-0.950327405207969,"neg",2
"12","FOXA2","NAV1",-0.969641778563448,"neg",5
"13","NKX2-2","NAV1",-0.964429445188493,"neg",5
"14","ZIC2","NKX2-1",-0.959738447773749,"neg",8
"15","PRDX6","NKX2-1",-0.956608483066645,"neg",2
"16","FEZF1","NKX2-1",-0.960036283622769,"neg",1
"17","CRISPLD1","ZIC5",-0.952365931648808,"neg",2
"18","KLHL5","ZNF385B",-0.958812430840183,"neg",1
"19","FGF8","SLIT2",-0.953014586235208,"neg",2
"20","ZIC2","NTRK2",-0.95196078950821,"neg",8
"21","QKI","PRSS23",-0.953572986229911,"neg",1
"22","NKX2-2","PRSS23",-0.966732165865478,"neg",5
"23","NKX2-1","PRSS23",-0.959017621862643,"neg",5
"24","IL17RD","EDNRA",-0.954569299938019,"neg",1
"25","ARX","SREK1IP1",-0.961080556363839,"neg",4
"26","FOXA2","GRIA1",-0.959584186629126,"neg",5
"27","GLI3","FRZB",-0.950425083458081,"neg",3
"28","TMEM132B","FRZB",-0.967114223533085,"neg",1
"29","RFX4","FZD5",-0.952398454124774,"neg",2
"30","LTBP1","HHIP",-0.951338473024232,"neg",2
"31","PTPRZ1","HHIP",-0.951940229978622,"neg",2
"32","TNC","SHH",-0.953830938541807,"neg",1
"33","ZIC2","SHH",-0.983912730019908,"neg",8
"34","FGF8","SHH",-0.955065190485808,"neg",2
"35","ZIC5","SHH",-0.965577215816051,"neg",3
"36","BCL2L11","SHH",-0.950185513842125,"neg",1
"37","SPRY1","SHH",-0.973371826697067,"neg",2
"38","NKX2-2","OTX2",-0.980739709629339,"neg",5
"39","WLS","ROBO1",-0.954382932074238,"neg",1
"40","SLIT2","ROBO1",-0.958142866298433,"neg",3
"41","SHH","FJX1",-0.963201092282391,"neg",10
"42","WNT5B","RGMA",-0.960507990886089,"neg",7
"43","ARX","DLK1",-0.959396694083045,"neg",4
"44","RFX4","DLK1",-0.959581831809398,"neg",2
"45","DDC","DLK1",-0.968393101037814,"neg",4
"46","NAV1","POU3F1",-0.954360803829018,"neg",4
"47","WNT5B","PTCH1",-0.96176201274893,"neg",7
"48","NAV1","PTCH1",-0.963118314387626,"neg",4
"49","GRIA1","PTCH1",-0.95412141238251,"neg",2
"50","CRISPLD1","IRS2",-0.950581456712149,"neg",2
"51","CNTN6","IRS2",-0.965496617505286,"neg",2
"52","SLIT2","IRS2",-0.957937023078783,"neg",3
"53","SHH","IRS2",-0.978824783166325,"neg",10
"54","ZIC2","SLIT1",-0.959527352918644,"neg",8
"55","SPRY1","SLIT1",-0.964720960845827,"neg",2
"56","IRS2","SLIT1",-0.958368934478321,"neg",5
"57","CNTN6","LPAR1",-0.951188028292192,"neg",2
"58","NKX2-1","LPAR1",-0.969019561703326,"neg",5
"59","SHH","LPAR1",-0.969445962273711,"neg",10
"60","ARX","SMOC1",-0.956559751881809,"neg",4
"61","DDC","SMOC1",-0.954249116430996,"neg",4
"62","NTRK2","SMOC1",-0.954062543286631,"neg",2
"63","SHH","SMOC1",-0.966547878973301,"neg",10
"64","SLIT1","SMOC1",-0.960995838469007,"neg",4
"65","DDC","ETV5",-0.953768563422908,"neg",4
"66","ZIC2","NKX2-1-AS1",-0.955783337755842,"neg",8
"67","WNT5B","NKX2-1-AS1",-0.954309138749153,"neg",7
"68","PRSS23","NKX2-1-AS1",-0.958556935754701,"neg",5
"69","ZIC2","LINC00261",-0.957528022470665,"neg",8
"70","GLI3","LINC00261",-0.955364414832904,"neg",3
"71","WNT5B","LINC00261",-0.960037171108237,"neg",7
"72","ZIC5","LINC00261",-0.951609757513261,"neg",3
"73","PRSS23","LINC00261",-0.961438641301527,"neg",5
"74","LPAR1","LINC00261",-0.956851303127368,"neg",4
"75","ZIC2","SPON1",-0.967421933648172,"neg",8
"76","WNT5B","SPON1",-0.961283704279114,"neg",7
